event_id,season,week,rule_mode,elim_count,hard_hit_set,hard_hit_all_in_bottomk,hard_hit_k1_exact,hard_stage1_hit_bottom2,hard_stage2_hit_pred,use_two_stage,ppc_p_mean,ppc_p_q025,ppc_p_q975,ppc_logp_mean,ppc_logp_q025,ppc_logp_q975,pi_hdi_width_mean,pi_hdi_width_median,pi_sd_mean,pi_sd_median,pi_mean_max,pi_mean_min
5-5,5,5,percent,1,1,1,1.0,,,0,0.1269939976511502,0.1035277436911954,0.1364899454846095,-2.06609477932584,-2.2679156688091493,-1.9915043265466736,0.38533975556740485,0.3798877532713604,0.14528172157503777,0.14388430171045818,0.1333975895501604,0.11534539943711
5-6,5,6,percent,1,0,0,0.0,,,0,0.1441729280034555,0.1127892138558541,0.1553284883580092,-1.939830793581168,-2.182234566786167,-1.8622131248395128,0.43956867581197534,0.4483494787757313,0.1592745914328774,0.1582943959603755,0.1539148466847465,0.1287279176244795
5-7,5,7,percent,1,1,1,1.0,,,0,0.1686050721809281,0.1298095373844225,0.1839479764304229,-1.78387152637969,-2.0416870604770496,-1.6931022990371785,0.5107640002378471,0.5174949379935972,0.17471401671240716,0.1769690331847873,0.1747840511605071,0.151209702199528
5-8,5,8,percent,1,1,1,1.0,,,0,0.2027494834081607,0.1527858567588023,0.2251933284404997,-1.6003799693543117,-1.8787179969173984,-1.4907960082394307,0.5925319208024333,0.6111792606559612,0.19577429908007435,0.2006576444622726,0.2098214101280367,0.1789935627221754
5-9,5,9,percent,1,1,1,1.0,,,0,0.2532145120550694,0.181696974815246,0.288167724178307,-1.380124888624811,-1.7054151690794892,-1.244212592743395,0.7129503324752604,0.727714915971905,0.22445658632066084,0.2274131487440511,0.2597784312079489,0.2288554947280094
5-10,5,10,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.8435607929409454,0.8468938356639331,0.2594893616491089,0.2586715782993972,0.3398908880582136,0.3291576481434923
6-1,6,1,percent,0,1,1,,,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.2567378468281374,0.2504712243007261,0.11044697691624035,0.1090635171587497,0.0942516526736489,0.0787151759386455
6-2,6,2,percent,2,1,1,,,,0,0.0156407772445731,0.0125024608449586,0.0171763203599666,-4.160829061911751,-4.381829822435424,-4.064223566991371,0.25566762734752646,0.2561477962213022,0.11035748307828896,0.11138320917654645,0.0939371432767796,0.0753371089262062
6-3,6,3,percent,1,0,0,0.0,,,0,0.1008283428373407,0.0838123245156052,0.1066683564024324,-2.2962045957791126,-2.479175221610681,-2.238030730734514,0.30675233716372724,0.30589549524763765,0.12557135846525672,0.12421294021133684,0.1114316435839811,0.0918343962933729
6-4,6,4,percent,1,1,1,1.0,,,0,0.1135390972553867,0.0948660607168618,0.1207479135652611,-2.1774214865882406,-2.3552892694075007,-2.1140502656049405,0.3395083670034529,0.3381070128503721,0.13507738409622141,0.136437523826313,0.1201591622963048,0.09748089400617
